date,信号数,次日收涨率,可盈利卖出率,平均最大可卖收益,平均次日收盘收益,次日大盘涨跌
2026-03-06,45.0,0.4666666666666667,0.6888888888888889,0.029623318636404057,0.0004089759695953981,-0.006689798481641085
2026-03-09,50.0,0.58,0.82,0.037905299867543846,0.01703438520059764,0.00647854318215102
2026-03-10,65.0,0.35384615384615387,0.9230769230769231,0.030796034174964154,0.0038088900341290703,0.0024956707751859764
2026-03-11,61.0,0.4426229508196721,0.7704918032786885,0.02642781221490603,-0.00021684680837815045,-0.0010475561458642701
2026-03-12,49.0,0.32653061224489793,0.7346938775510204,0.027256392428946796,-0.014977662533064515,-0.008149475672664885
2026-03-13,7.0,0.7142857142857143,1.0,0.03690955050975148,0.019736743720649676,-0.002602888571463402
2026-03-16,38.0,0.15789473684210525,0.7631578947368421,0.01690860887662026,-0.03355332833284282,-0.00853899466068031
2026-03-17,6.0,0.0,0.3333333333333333,-0.01310368076133476,-0.04032974966258723,0.003227232210098574
2026-03-18,37.0,0.1891891891891892,0.7027027027027027,0.01774409551342505,-0.02224851599306101,-0.01388882052089846
2026-03-19,5.0,0.2,0.6,0.0030414745267452357,-0.023987769512180224,-0.012354769065655025
2026-03-20,7.0,0.2857142857142857,0.5714285714285714,0.029505225069136776,-0.017142128255862126,-0.03633262152360972
2026-03-23,4.0,0.5,1.0,0.05109295852716905,0.035254073021113,0.01783241723660467
2026-03-24,39.0,0.6410256410256411,0.8717948717948718,0.0519038355716142,0.023536349299363293,0.013026630389974425
2026-03-25,30.0,0.3333333333333333,0.7,0.018440220928500724,-0.012500857208376903,-0.010875315373972572
2026-03-26,14.0,0.5714285714285714,0.7857142857142857,0.04198564917200398,0.01838720921429332,0.006335688646157855
2026-03-27,44.0,0.5,0.75,0.015279156973839319,-0.005276257423547383,0.0024452439111637414
2026-03-30,80.0,0.275,0.7875,0.02539973188452002,-0.016123483547708577,-0.008011133512944468
2026-03-31,12.0,0.3333333333333333,0.5833333333333334,0.012967349180218626,-0.00861309621187642,0.014566299918290948
2026-04-01,104.0,0.3269230769230769,0.7596153846153846,0.021456270495503353,-0.006767938524334904,-0.007410315178989824
2026-04-02,15.0,0.4,0.8,0.03119456800176375,-0.0008388239663676966,-0.009999260070063687
2026-04-03,21.0,0.47619047619047616,0.9047619047619048,0.04451155112632471,0.00962397366118634,0.0025927166825596704
2026-04-07,33.0,0.8181818181818182,0.9090909090909091,0.04704070105514513,0.03262003052258259,0.02695004832706105
2026-04-08,136.0,0.39705882352941174,0.7794117647058824,0.0289321619585773,0.004467942860380386,-0.007216520650813463
2026-04-09,43.0,0.2558139534883721,0.7674418604651163,0.01643534885780028,-0.014991883641109191,0.005055254817619925
2026-04-10,24.0,0.625,0.8333333333333334,0.018822991414546793,0.0015784684195579712,0.0005870222917951917
2026-04-13,76.0,0.618421052631579,0.881578947368421,0.038298993771750715,0.015454947549805633,0.009544798122630871
2026-04-14,144.0,0.2361111111111111,0.8611111111111112,0.023359299825914295,-0.014091565443556078,0.00014404104673126916
2026-04-15,37.0,0.3783783783783784,0.5675675675675675,0.011044697259795925,-0.001914722999633905,0.0070371299236942075
2026-04-16,101.0,0.6039603960396039,0.8514851485148515,0.030873998152633773,0.01314544975123787,-0.0010158918025916508
2026-04-17,85.0,0.5411764705882353,0.9176470588235294,0.034211661485200474,0.009814321509290874,0.007577571376032655
2026-04-20,104.0,0.375,0.7596153846153846,0.02200231301725454,-0.0013978280951438932,0.0007226619436422332
2026-04-21,65.0,0.676923076923077,0.8307692307692308,0.03066055264013809,0.011135827025509953,0.005184720984656499
2026-04-22,120.0,0.19166666666666668,0.8333333333333334,0.02071560838944746,-0.018663072818401908,-0.0031683332278034104
2026-04-23,43.0,0.27906976744186046,0.5348837209302325,0.017151664610057737,-0.015067298807119624,-0.003261467049410549
